CRIM,ZN,INDUS,CHAS,NOX,RM,DIS,TAX,PTRATIO,LSTAT,AGE_middle-aged,AGE_old,AGE_young,RAD_high,RAD_low,RAD_medium
0.00632,18.0,2.31,0.0,0.538,6.266619256017506,4.09,296.0,18.426431718061675,4.98,0,1,0,0,1,0
0.02731,0.0,7.07,0.0,0.469,6.421,4.9671,407.86170212765956,17.8,9.14,0,1,0,0,1,0
0.02729,0.0,7.07,0.0,0.469,7.185,4.9671,407.86170212765956,17.8,4.03,0,1,0,0,1,0
0.03237,0.0,2.18,0.0,0.458,6.998,6.0622,222.0,18.7,2.94,1,0,0,0,0,0
0.06905,0.0,2.18,0.0,0.5537947136563877,7.147,6.0622,222.0,18.7,5.33,1,0,0,0,0,0
0.02985,0.0,2.18,0.0,0.458,6.266619256017506,6.0622,222.0,18.7,5.21,1,0,0,0,0,0
3.4665813199105147,12.5,7.87,0.0,0.524,6.012,5.5605,311.0,15.2,12.43,0,1,0,0,0,1
3.4665813199105147,12.5,7.87,0.0,0.524,6.172,5.9505,311.0,15.2,19.15,0,1,0,0,0,1
0.21124,11.61147186147186,7.87,0.0,0.524,5.631,6.0821,311.0,15.2,29.93,0,1,0,0,0,1
0.17004,12.5,7.87,0.0,0.524,6.004,6.5921,407.86170212765956,15.2,17.1,0,1,0,0,0,1
0.22489,12.5,7.87,0.0,0.524,6.266619256017506,3.780305764966741,311.0,15.2,20.45,0,1,0,0,0,1
0.11747,11.61147186147186,7.87,0.06798245614035088,0.524,6.009,6.2267,311.0,15.2,13.27,0,1,0,0,0,1
0.09378,12.5,7.87,0.06798245614035088,0.5537947136563877,5.889,5.4509,311.0,15.2,15.71,1,0,0,0,0,1
0.62976,0.0,11.116921397379913,0.06798245614035088,0.538,5.949,4.7075,407.86170212765956,21.0,8.26,0,1,0,0,1,0
0.63796,0.0,8.14,0.0,0.538,6.096,4.4619,307.0,21.0,10.26,0,1,0,0,1,0
0.62739,0.0,8.14,0.06798245614035088,0.538,5.834,4.4986,307.0,21.0,8.47,0,0,0,0,1,0
1.05393,0.0,11.116921397379913,0.0,0.538,5.935,4.4986,307.0,21.0,6.58,0,0,1,0,0,0
3.4665813199105147,0.0,11.116921397379913,0.0,0.538,5.99,4.2579,307.0,18.426431718061675,14.67,0,1,0,0,0,0
0.80271,0.0,8.14,0.0,0.538,6.266619256017506,3.7965,307.0,18.426431718061675,11.69,1,0,0,0,0,0
3.4665813199105147,0.0,8.14,0.0,0.538,5.727,3.7965,307.0,21.0,12.645822510822512,0,1,0,0,1,0
1.25179,0.0,8.14,0.0,0.538,5.57,3.7979,307.0,21.0,21.02,0,0,0,0,0,0
0.85204,11.61147186147186,8.14,0.0,0.5537947136563877,5.965,4.0123,307.0,21.0,13.83,0,1,0,0,1,0
1.23247,0.0,8.14,0.0,0.538,6.142,3.9769,307.0,21.0,18.72,0,1,0,0,1,0
0.98843,11.61147186147186,8.14,0.0,0.538,6.266619256017506,4.0952,307.0,21.0,19.88,0,1,0,0,1,0
0.75026,0.0,8.14,0.0,0.538,5.924,4.3996,307.0,21.0,16.3,0,1,0,0,1,0
0.84054,11.61147186147186,8.14,0.0,0.538,5.599,4.4546,307.0,21.0,16.51,0,1,0,0,1,0
0.67191,0.0,8.14,0.0,0.538,5.813,4.682,407.86170212765956,21.0,14.81,0,1,0,0,0,0
0.95577,0.0,8.14,0.06798245614035088,0.5537947136563877,6.047,4.4534,307.0,21.0,17.28,0,1,0,0,1,0
0.77299,0.0,8.14,0.0,0.538,6.495,4.4547,307.0,21.0,12.8,0,1,0,0,1,0
1.00245,0.0,8.14,0.0,0.538,6.674,4.239,307.0,21.0,11.98,0,1,0,0,0,0
3.4665813199105147,0.0,8.14,0.0,0.538,5.713,4.233,307.0,21.0,12.645822510822512,0,1,0,0,1,0
1.35472,0.0,8.14,0.0,0.538,6.072,4.175,307.0,21.0,13.04,0,1,0,0,1,0
1.38799,0.0,8.14,0.0,0.538,5.95,3.99,307.0,21.0,27.71,0,1,0,0,1,0
1.15172,11.61147186147186,8.14,0.0,0.538,5.701,3.7872,307.0,21.0,18.35,0,1,0,0,1,0
1.61282,0.0,8.14,0.0,0.538,6.096,3.7598,307.0,21.0,20.34,0,1,0,0,1,0
0.06417,0.0,5.96,0.0,0.499,5.933,3.780305764966741,407.86170212765956,19.2,9.68,0,0,0,0,0,1
0.09744,0.0,5.96,0.0,0.499,5.841,3.3779,279.0,19.2,11.41,0,1,0,0,0,1
0.08014,0.0,5.96,0.0,0.499,6.266619256017506,3.9342,279.0,19.2,12.645822510822512,1,0,0,0,0,1
0.17505,0.0,5.96,0.0,0.5537947136563877,5.966,3.8473,279.0,19.2,10.13,1,0,0,0,0,1
0.02763,75.0,2.95,0.0,0.428,6.595,5.4011,252.0,18.3,4.32,0,0,1,0,1,0
